state,oas_cahps_measure_id,oas_cahps_question,oas_cahps_answer_description,oas_cahps_answer_percent,oas_cahps_answer_percent_footnote,start_date,end_date
MP,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",Not Available,5.0,04/01/2024,03/31/2025
MP,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",Not Available,5.0,04/01/2024,03/31/2025
MS,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
MS,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",96,,04/01/2024,03/31/2025
MS,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",4,,04/01/2024,03/31/2025
MS,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",2,,04/01/2024,03/31/2025
MS,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",92,,04/01/2024,03/31/2025
MS,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",6,,04/01/2024,03/31/2025
MS,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",2,,04/01/2024,03/31/2025
MS,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
MS,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",1,,04/01/2024,03/31/2025
MS,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",3,,04/01/2024,03/31/2025
MS,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",13,,04/01/2024,03/31/2025
MS,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",84,,04/01/2024,03/31/2025
MS,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",3,,04/01/2024,03/31/2025
MS,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",82,,04/01/2024,03/31/2025
MS,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",15,,04/01/2024,03/31/2025
MT,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
MT,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",97,,04/01/2024,03/31/2025
MT,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
MT,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",1,,04/01/2024,03/31/2025
MT,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",93,,04/01/2024,03/31/2025
MT,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",6,,04/01/2024,03/31/2025
MT,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",2,,04/01/2024,03/31/2025
MT,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
MT,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",1,,04/01/2024,03/31/2025
MT,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",3,,04/01/2024,03/31/2025
MT,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",12,,04/01/2024,03/31/2025
MT,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",85,,04/01/2024,03/31/2025
MT,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",2,,04/01/2024,03/31/2025
MT,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",80,,04/01/2024,03/31/2025
MT,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",18,,04/01/2024,03/31/2025
NC,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
NC,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",97,,04/01/2024,03/31/2025
NC,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
NC,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",1,,04/01/2024,03/31/2025
NC,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",93,,04/01/2024,03/31/2025
NC,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",6,,04/01/2024,03/31/2025
NC,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",1,,04/01/2024,03/31/2025
NC,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
NC,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",2,,04/01/2024,03/31/2025
NC,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",2,,04/01/2024,03/31/2025
NC,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",10,,04/01/2024,03/31/2025
NC,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",88,,04/01/2024,03/31/2025
NC,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",2,,04/01/2024,03/31/2025
NC,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",83,,04/01/2024,03/31/2025
NC,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",15,,04/01/2024,03/31/2025
ND,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
ND,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",97,,04/01/2024,03/31/2025
ND,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
ND,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",1,,04/01/2024,03/31/2025
ND,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",93,,04/01/2024,03/31/2025
ND,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",6,,04/01/2024,03/31/2025
ND,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",1,,04/01/2024,03/31/2025
ND,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
ND,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",2,,04/01/2024,03/31/2025
ND,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",3,,04/01/2024,03/31/2025
ND,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",15,,04/01/2024,03/31/2025
ND,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",82,,04/01/2024,03/31/2025
ND,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",2,,04/01/2024,03/31/2025
ND,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",78,,04/01/2024,03/31/2025
ND,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",20,,04/01/2024,03/31/2025
NE,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
NE,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",97,,04/01/2024,03/31/2025
NE,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
NE,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",1,,04/01/2024,03/31/2025
NE,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",92,,04/01/2024,03/31/2025
NE,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",7,,04/01/2024,03/31/2025
NE,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",1,,04/01/2024,03/31/2025
NE,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
NE,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",2,,04/01/2024,03/31/2025
NE,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",2,,04/01/2024,03/31/2025
NE,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",11,,04/01/2024,03/31/2025
NE,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",87,,04/01/2024,03/31/2025
NE,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",2,,04/01/2024,03/31/2025
NE,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",83,,04/01/2024,03/31/2025
NE,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",15,,04/01/2024,03/31/2025
NH,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
NH,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",98,,04/01/2024,03/31/2025
NH,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",2,,04/01/2024,03/31/2025
NH,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",1,,04/01/2024,03/31/2025
NH,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",94,,04/01/2024,03/31/2025
NH,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",5,,04/01/2024,03/31/2025
NH,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",1,,04/01/2024,03/31/2025
NH,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
NH,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",2,,04/01/2024,03/31/2025
NH,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",2,,04/01/2024,03/31/2025
NH,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",10,,04/01/2024,03/31/2025
NH,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",88,,04/01/2024,03/31/2025
NH,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",2,,04/01/2024,03/31/2025
NH,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",84,,04/01/2024,03/31/2025
NH,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",14,,04/01/2024,03/31/2025
NJ,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
NJ,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",97,,04/01/2024,03/31/2025
NJ,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
NJ,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",2,,04/01/2024,03/31/2025
NJ,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",91,,04/01/2024,03/31/2025
NJ,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",7,,04/01/2024,03/31/2025
NJ,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",2,,04/01/2024,03/31/2025
NJ,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
NJ,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",1,,04/01/2024,03/31/2025
NJ,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",2,,04/01/2024,03/31/2025
NJ,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",11,,04/01/2024,03/31/2025
NJ,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",87,,04/01/2024,03/31/2025
NJ,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",2,,04/01/2024,03/31/2025
NJ,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",84,,04/01/2024,03/31/2025
NJ,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",14,,04/01/2024,03/31/2025
NM,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",1,,04/01/2024,03/31/2025
NM,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",96,,04/01/2024,03/31/2025
NM,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
NM,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",2,,04/01/2024,03/31/2025
NM,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",91,,04/01/2024,03/31/2025
NM,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",7,,04/01/2024,03/31/2025
NM,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",2,,04/01/2024,03/31/2025
NM,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",96,,04/01/2024,03/31/2025
NM,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",2,,04/01/2024,03/31/2025
NM,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",3,,04/01/2024,03/31/2025
NM,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",14,,04/01/2024,03/31/2025
NM,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",83,,04/01/2024,03/31/2025
NM,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",3,,04/01/2024,03/31/2025
NM,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",78,,04/01/2024,03/31/2025
NM,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",19,,04/01/2024,03/31/2025
NV,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",1,,04/01/2024,03/31/2025
NV,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",96,,04/01/2024,03/31/2025
NV,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",3,,04/01/2024,03/31/2025
NV,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",2,,04/01/2024,03/31/2025
NV,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",90,,04/01/2024,03/31/2025
NV,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",8,,04/01/2024,03/31/2025
NV,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",2,,04/01/2024,03/31/2025
NV,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",95,,04/01/2024,03/31/2025
NV,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",3,,04/01/2024,03/31/2025
NV,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",3,,04/01/2024,03/31/2025
NV,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",13,,04/01/2024,03/31/2025
NV,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",84,,04/01/2024,03/31/2025
NV,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",3,,04/01/2024,03/31/2025
NV,O_PATIENT_REC_YD_S,"Patients who reported YES, they would definitely recommend the facility","Patients would ""definitely"" recommend the facility",81,,04/01/2024,03/31/2025
NV,O_PATIENT_REC_YP_S,"Patients who reported YES, they would probably recommend the facility","Patients would ""probably"" recommend the facility",16,,04/01/2024,03/31/2025
NY,O_COMP_1_N_S,"Patients who reported that the facility was ""not"" clean, and staff were ""not"" helpful and respectful","Facility was ""not"" clean and staff were ""not"" helpful and respectful",0,,04/01/2024,03/31/2025
NY,O_COMP_1_YD_S,"Patients who reported that ""definitely"" the facility was clean, and staff were helpful and respectful","Facility was ""definitely"" clean and staff were ""definitely"" helpful and respectful",96,,04/01/2024,03/31/2025
NY,O_COMP_1_YS_S,"Patients who reported ""somewhat"" that the facility was clean, and staff were helpful and respectful","Facility was ""somewhat"" clean and staff were ""somewhat"" helpful and respectful",4,,04/01/2024,03/31/2025
NY,O_COMP_2_N_S,"Patients who reported that staff ""did not"" give them clear and complete information about their procedure","Facility and staff ""did not"" communicate well to the patient about their procedure",2,,04/01/2024,03/31/2025
NY,O_COMP_2_YD_S,"Patients who reported that staff ""definitely"" gave them clear and complete information about their procedure","Facility and staff ""definitely"" communicated well to the patient about their procedure",91,,04/01/2024,03/31/2025
NY,O_COMP_2_YS_S,"Patients who reported that staff ""somewhat"" gave them clear and complete information about their procedure","Facility and staff ""somewhat"" communicated well to the patient about their procedure",7,,04/01/2024,03/31/2025
NY,O_COMP_3_N_S,"Patients who reported that staff ""did not"" give them written information and prepared them for recovery","Facility and staff ""did not"" prepare patients for discharge",2,,04/01/2024,03/31/2025
NY,O_COMP_3_YD_S,"Patients who reported that staff ""definitely"" gave them written information and prepared them for recovery","Facility and staff ""definitely"" prepared patients for discharge",97,,04/01/2024,03/31/2025
NY,O_COMP_3_YS_S,"Patients who reported that staff ""somewhat"" gave them written information and prepared them for recovery","Facility and staff ""somewhat"" prepared patients for discharge",1,,04/01/2024,03/31/2025
NY,O_PATIENT_RATE_0_6_S,Patients who gave their facility a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",3,,04/01/2024,03/31/2025
NY,O_PATIENT_RATE_7_8_S,Patients who gave their facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",13,,04/01/2024,03/31/2025
NY,O_PATIENT_RATE_9_10_S,Patients who gave their facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",84,,04/01/2024,03/31/2025
NY,O_PATIENT_REC_NPD_S,"Patients who reported NO, they would probably or definitely not recommend the facility","Patients would ""probably not"" or ""definitely not"" recommend the facility",3,,04/01/2024,03/31/2025
